record_id,route_id,observed_at,forecast_date,route_distance_km,historical_volume_7d_ton,historical_volume_30d_ton,bookings_7d,vessel_capacity_ton,commodity_index,is_holiday,port_congestion,weather_risk,fuel_price_index,economic_activity_index,lead_time_days,forecast_horizon_days,is_synthetic,provenance,demand_volume_ton,target_definition_version,dataset_version
4a3155df-4c4e-5f15-a956-6a3949783751,446108d4-03a4-59f5-a7d7-88c29796fb04,2023-01-01T03:00:00+00:00,2023-01-08T03:00:00+00:00,1091.243,252.831,1116.304,26,390.17,1.035781,1,0.237505,0.157393,1.200341,0.866859,5.006,7,True,opticargo-synthetic-demand-forecast-generator-v1,358.39,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
27699077-9038-5df7-a954-cdbeed8f8aae,a21264d9-706b-522c-952a-6cd3b941b222,2023-01-01T09:00:00+00:00,2023-01-31T09:00:00+00:00,2991.1,330.013,1505.59,24,294.892,1.240192,1,0.438685,0.101248,1.049867,1.007796,21.454,30,True,opticargo-synthetic-demand-forecast-generator-v1,1295.064,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
e417df59-1742-5469-b723-11d2a764e72d,ab97b5ca-58a1-5151-8c09-376243728d75,2023-01-01T14:00:00+00:00,2023-01-08T14:00:00+00:00,2269.74,201.182,756.663,41,181.576,0.745212,1,0.366364,0.182917,1.081827,0.837673,15.344,7,True,opticargo-synthetic-demand-forecast-generator-v1,285.376,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
1f2a70fb-dce4-50d7-89ec-d2455701e75d,16a3ae30-cbfc-555b-bd01-8761800d967c,2023-01-01T18:00:00+00:00,2023-01-08T18:00:00+00:00,2134.419,267.055,1341.783,22,340.284,1.21801,1,0.27238,0.069659,0.842287,0.741662,2.851,7,True,opticargo-synthetic-demand-forecast-generator-v1,389.569,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
b82fd15f-de73-5597-84fb-d5a444c24e8b,260c337f-47e1-5a51-8a5e-4b56e179ba6a,2023-01-02T03:00:00+00:00,2023-01-09T03:00:00+00:00,2758.35,319.759,1537.768,22,2340.592,1.018094,0,0.305874,0.194552,0.93748,1.047755,2.935,7,True,opticargo-synthetic-demand-forecast-generator-v1,317.916,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
a0765b60-0797-5d79-b523-c15cb150ba96,21ff5934-902a-509f-901f-cfa81317f3be,2023-01-02T06:00:00+00:00,2023-01-05T06:00:00+00:00,1592.116,246.233,1267.771,15,1780.063,0.840912,0,0.310939,0.434506,1.133815,1.008263,9.511,3,True,opticargo-synthetic-demand-forecast-generator-v1,142.252,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
9104091f-de1f-528e-ba7c-084db838d2e2,810166c3-6972-58fb-9fe3-7f712bb27c89,2023-01-02T13:00:00+00:00,2023-01-16T13:00:00+00:00,2167.974,297.415,1332.857,43,465.525,0.997009,0,0.306758,0.249334,1.164427,0.821137,25.818,14,True,opticargo-synthetic-demand-forecast-generator-v1,617.912,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
6e4362f4-066a-5906-88d9-08b2abbad0ec,d9f7188b-272e-5971-b6ff-8b7e99e95945,2023-01-02T23:00:00+00:00,2023-01-03T23:00:00+00:00,2131.924,296.217,1372.636,44,1614.432,0.804983,1,0.884051,0.212935,0.721478,1.128713,4.333,1,True,opticargo-synthetic-demand-forecast-generator-v1,123.653,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
c38e4a2c-82be-508e-b96f-dc17ab3b12c6,89222528-bdce-5bda-a495-6e3e1ba63dbb,2023-01-03T02:00:00+00:00,2023-01-17T02:00:00+00:00,952.275,381.304,1509.914,69,669.643,0.986073,0,0.397418,0.220495,0.801082,1.032479,1.904,14,True,opticargo-synthetic-demand-forecast-generator-v1,591.727,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
654fe853-8739-5fb9-ae88-f1a7bbb2283c,02a4811f-7a3d-5c9d-910e-2d182d59b326,2023-01-03T09:00:00+00:00,2023-01-10T09:00:00+00:00,2927.475,431.951,1926.249,91,1375.556,1.180073,0,0.417304,0.320524,1.063527,1.104616,8.007,7,True,opticargo-synthetic-demand-forecast-generator-v1,529.793,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
cf5cc780-1f80-51dc-9d90-5aca9b744061,e76c2f7b-812a-5634-bc38-c1041c14c88b,2023-01-03T17:00:00+00:00,2023-01-04T17:00:00+00:00,281.569,513.285,2128.472,38,442.395,1.221166,0,0.241614,0.065998,1.02087,0.906651,1.575,1,True,opticargo-synthetic-demand-forecast-generator-v1,98.919,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
cdef9953-1a68-5e71-a9fe-384176506911,72167236-1333-5101-b5d3-c94f984d8b34,2023-01-03T19:00:00+00:00,2023-01-10T19:00:00+00:00,777.426,502.003,1989.402,36,2030.06,0.996278,0,0.206372,0.035917,1.130483,1.008439,10.385,7,True,opticargo-synthetic-demand-forecast-generator-v1,607.826,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
d4dc872c-586c-57a9-93e1-2af67890325d,daad8e42-ed39-5153-8663-ce44d6e1ea35,2023-01-04T05:00:00+00:00,2023-01-11T05:00:00+00:00,1541.36,393.985,1757.952,31,1163.368,0.765432,0,0.040641,0.215567,0.93372,1.120332,2.057,7,True,opticargo-synthetic-demand-forecast-generator-v1,413.535,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
5df9426c-927e-53ce-9d72-208b19ca66a2,ccc1058b-8fb5-5b6f-a201-6545f0d87bfa,2023-01-04T10:00:00+00:00,2023-01-18T10:00:00+00:00,2057.528,408.089,1769.001,49,2162.001,0.930299,0,0.146797,0.264023,0.986595,0.863413,7.301,14,True,opticargo-synthetic-demand-forecast-generator-v1,1072.604,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
b8bcd72d-32a7-5cc3-8ed1-b7f98444773e,6d6e7774-de9e-5ef3-99ab-28cabddd3311,2023-01-04T14:00:00+00:00,2023-01-11T14:00:00+00:00,1434.028,511.732,2103.717,46,161.699,0.928878,1,0.164126,0.329398,0.94762,0.948503,6.213,7,True,opticargo-synthetic-demand-forecast-generator-v1,233.513,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
a6fa9252-314e-5ea6-b315-010a494b9b67,1f71defa-63dd-508c-a1ad-b462c6d0d070,2023-01-04T19:00:00+00:00,2023-01-11T19:00:00+00:00,2440.397,383.879,1829.062,43,758.105,0.743926,0,0.261327,0.531619,0.811541,1.156975,7.585,7,True,opticargo-synthetic-demand-forecast-generator-v1,355.449,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
40ab3084-d811-5dea-9513-6516abe4d1e7,5ccb5f47-cf78-5925-892b-3f6abf110a1d,2023-01-05T01:00:00+00:00,2023-01-19T01:00:00+00:00,1993.782,516.866,2446.528,53,832.404,0.876089,0,0.230459,0.280485,0.882999,1.233772,3.703,14,True,opticargo-synthetic-demand-forecast-generator-v1,1168.691,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
db5de9ca-2d47-59a6-b364-946680dac82c,45b53ef8-9c2b-5118-9b30-918b76c5cc03,2023-01-05T08:00:00+00:00,2023-01-12T08:00:00+00:00,287.397,597.743,2432.883,143,1624.095,1.044982,0,0.243996,0.13637,0.76676,0.973304,2.627,7,True,opticargo-synthetic-demand-forecast-generator-v1,522.21,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
c82399fd-c94d-50bc-ac19-e6b1060e50f9,9b5ab654-6590-5ef0-b72a-7b8ba473531e,2023-01-05T15:00:00+00:00,2023-01-12T15:00:00+00:00,247.45,601.646,2941.326,87,2425.04,1.115685,0,0.163962,0.157062,0.668468,1.080316,7.867,7,True,opticargo-synthetic-demand-forecast-generator-v1,770.674,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
8423f309-d3a6-5036-8b9a-fd1634a6e632,1cc32c05-3116-5f56-b08c-0c8fb12dcd7e,2023-01-05T20:00:00+00:00,2023-01-19T20:00:00+00:00,1749.094,601.764,2350.031,82,2253.594,1.141614,0,0.542967,0.055064,0.926509,0.98483,7.927,14,True,opticargo-synthetic-demand-forecast-generator-v1,1277.715,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
4c6dfafa-417c-573b-be0a-080111aad092,ef2487be-139b-5d6e-92f2-55fcc4454b31,2023-01-06T00:00:00+00:00,2023-01-13T00:00:00+00:00,2159.225,604.155,2629.605,42,1244.926,1.144613,0,0.513753,0.348491,0.797341,1.00272,8.645,7,True,opticargo-synthetic-demand-forecast-generator-v1,701.857,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
458e88c5-0bde-5daf-87ac-b1372bf1ee76,8f1ac145-8c39-5356-8f75-f373f063ead0,2023-01-06T11:00:00+00:00,2023-01-20T11:00:00+00:00,2518.492,490.686,2822.764,50,293.375,1.028684,0,0.030824,0.350319,0.812269,0.991093,4.835,14,True,opticargo-synthetic-demand-forecast-generator-v1,1333.609,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
73e23535-2ba7-51f8-b7d3-55e4d7bf087f,6994ad52-d768-5955-bb8c-87e507afde3d,2023-01-06T14:00:00+00:00,2023-01-20T14:00:00+00:00,703.05,587.88,2589.425,135,764.934,1.065421,0,0.286523,0.68614,1.039768,0.994093,7.556,14,True,opticargo-synthetic-demand-forecast-generator-v1,967.283,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
dbb4c6a7-ccd7-5845-a1d0-e453498ad76c,bedec1d6-1c95-56dc-8aaf-1ef6bbb024b3,2023-01-06T23:00:00+00:00,2023-01-13T23:00:00+00:00,602.989,609.241,2186.071,72,1953.301,0.935041,0,0.340132,0.068994,1.216972,0.875678,7.591,7,True,opticargo-synthetic-demand-forecast-generator-v1,472.7,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
261334b0-7844-59fd-926b-a14bb0d135b6,931c42b5-e008-5e62-9a96-aa7ba8732da7,2023-01-07T01:00:00+00:00,2023-01-08T01:00:00+00:00,1233.946,650.504,2664.497,71,1564.429,0.957642,1,0.443156,0.159634,1.053391,1.019228,5.962,1,True,opticargo-synthetic-demand-forecast-generator-v1,158.051,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
f3439509-2f67-508e-9b8f-e4f3fde5154f,f184cda8-c422-544e-86b6-694523d871c8,2023-01-07T07:00:00+00:00,2023-01-14T07:00:00+00:00,1621.437,738.283,3325.596,133,1119.232,1.054809,1,0.589432,0.131807,1.301691,1.053476,5.552,7,True,opticargo-synthetic-demand-forecast-generator-v1,764.771,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
e1beb3cc-4524-5e9d-a7ba-159c93815270,97109b0f-c846-59d1-9540-59231c026aef,2023-01-07T16:00:00+00:00,2023-01-08T16:00:00+00:00,1550.533,576.899,2590.026,128,1085.999,1.003089,1,0.13513,0.238273,1.109147,0.766388,7.523,1,True,opticargo-synthetic-demand-forecast-generator-v1,241.642,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
d50d10ce-dd1d-550f-bfa1-d35a0e8b8a48,55be09d7-365f-5c90-b57c-45510616c1c8,2023-01-07T19:00:00+00:00,2023-01-08T19:00:00+00:00,1487.896,526.01,2463.607,36,1033.533,0.889571,1,0.458827,0.497271,1.063584,0.916936,12.007,1,True,opticargo-synthetic-demand-forecast-generator-v1,160.247,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
677da0dc-2952-5c47-b1f1-101e1213ce22,6d3bf7cd-ee62-5425-807d-f24eed498dd2,2023-01-08T05:00:00+00:00,2023-01-11T05:00:00+00:00,2520.047,787.348,3800.635,90,1180.764,1.027277,1,0.244739,0.338451,1.006029,1.122961,13.332,3,True,opticargo-synthetic-demand-forecast-generator-v1,482.193,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
9f79a24a-eadb-57c2-b2a3-9665a2c59a58,5582c96c-4f8e-5bc7-8db3-287eb0d044ff,2023-01-08T08:00:00+00:00,2023-01-15T08:00:00+00:00,2498.182,723.176,2905.476,55,1012.368,0.790648,1,0.092257,0.23549,0.843002,0.991135,2.292,7,True,opticargo-synthetic-demand-forecast-generator-v1,680.216,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
5c4f0c35-9bb3-5d17-b143-eeb215a23698,af9ca400-4d71-5d88-a5c4-8e8f560f37bd,2023-01-08T14:00:00+00:00,2023-01-15T14:00:00+00:00,207.618,724.213,3341.474,120,1985.237,1.035031,1,0.493028,0.426381,0.982369,0.936328,31.997,7,True,opticargo-synthetic-demand-forecast-generator-v1,829.62,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
e89d7e7f-11ee-56c5-b649-9b863fb11ce1,9af95a12-0aa4-506f-8e4a-e289f38bd524,2023-01-08T18:00:00+00:00,2023-01-15T18:00:00+00:00,134.341,814.374,3886.808,122,1842.78,0.960967,1,0.267961,0.184935,0.996544,1.062964,8.124,7,True,opticargo-synthetic-demand-forecast-generator-v1,978.52,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
df482f78-bb93-507a-9254-59916f85161f,b64fa115-8260-5f02-bc10-4636e8044d29,2023-01-09T02:00:00+00:00,2023-02-08T02:00:00+00:00,1508.98,983.637,3447.959,79,220.281,1.053814,0,0.038775,0.139346,1.142337,0.914373,14.392,30,True,opticargo-synthetic-demand-forecast-generator-v1,1420.006,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
2b07c791-d044-56c1-bed0-301fc09162fb,00db2b26-6068-5ba2-b391-921d20d4da14,2023-01-09T07:00:00+00:00,2023-01-16T07:00:00+00:00,2344.479,994.991,4850.613,88,800.01,1.186317,0,0.190993,0.421012,1.104955,1.026333,5.167,7,True,opticargo-synthetic-demand-forecast-generator-v1,1112.359,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
927964b4-8869-5e3b-b700-6acc8fb7af25,1b358199-cb99-5bcb-b368-301c07733838,2023-01-09T15:00:00+00:00,2023-01-12T15:00:00+00:00,412.647,765.322,3804.807,91,407.964,0.950182,0,0.521264,0.098441,0.996026,1.056308,6.11,3,True,opticargo-synthetic-demand-forecast-generator-v1,328.293,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
098ab7a6-c3ec-573c-a6e6-b987ad38737c,a0f03797-4d6c-5804-b000-468179ec6ed7,2023-01-09T23:00:00+00:00,2023-01-23T23:00:00+00:00,1945.449,925.671,3860.444,142,1382.649,1.039765,0,0.347984,0.309594,0.837428,0.97803,3.745,14,True,opticargo-synthetic-demand-forecast-generator-v1,2205.074,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
2b27354a-ef99-58b3-b9b5-48cc623f1f98,78df9518-98a9-56b5-9f96-244bbb869d44,2023-01-10T00:00:00+00:00,2023-01-11T00:00:00+00:00,2115.687,802.787,3811.042,111,1227.297,1.045335,0,0.311295,0.340393,1.051807,0.911224,7.042,1,True,opticargo-synthetic-demand-forecast-generator-v1,228.018,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
da9e4ea3-1034-5a1e-87d1-91483b0a41af,a5e47f12-7a9c-5790-89ce-bf305b085426,2023-01-10T11:00:00+00:00,2023-01-17T11:00:00+00:00,2116.698,764.355,3534.917,61,157.986,0.91603,0,0.213249,0.204257,0.990953,1.072218,6.988,7,True,opticargo-synthetic-demand-forecast-generator-v1,224.252,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
bf59deae-4a0f-51ce-b009-e90427387293,efbc277b-8c6e-5dab-9380-4309c294d9c2,2023-01-10T14:00:00+00:00,2023-01-24T14:00:00+00:00,2470.789,895.386,4052.812,117,709.542,0.851816,0,0.262276,0.088723,0.915846,1.178408,7.818,14,True,opticargo-synthetic-demand-forecast-generator-v1,1635.611,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
a4453097-2314-5d44-ad3e-3a672dc36002,ea953a32-9508-51ad-9de8-80ba44074fea,2023-01-10T21:00:00+00:00,2023-01-13T21:00:00+00:00,584.571,1005.368,4110.432,83,880.763,0.86966,0,0.630747,0.062856,0.942911,1.156855,0.604,3,True,opticargo-synthetic-demand-forecast-generator-v1,390.126,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
973d1aec-073a-51d8-8937-0933a5833204,9892aaae-2f96-565c-9485-6e3536451789,2023-01-11T02:00:00+00:00,2023-01-18T02:00:00+00:00,2521.053,664.538,2792.9,76,529.625,0.839002,0,0.563517,0.18006,1.242796,0.950619,12.76,7,True,opticargo-synthetic-demand-forecast-generator-v1,750.37,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
51a35b75-d165-55e3-91a1-1de60494992e,0764bd31-ed7d-536b-9163-9ff05d0c53ff,2023-01-11T08:00:00+00:00,2023-01-18T08:00:00+00:00,2146.273,896.378,3841.701,79,2494.299,1.027159,0,0.196456,0.282026,0.972516,0.928576,1.808,7,True,opticargo-synthetic-demand-forecast-generator-v1,893.284,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
38fc6957-6951-546a-bf0b-cddf835db81e,dd9965a2-72b5-5038-9230-fdbb0378299a,2023-01-11T16:00:00+00:00,2023-01-25T16:00:00+00:00,2715.546,1111.964,4572.579,137,2388.508,1.323678,0,0.216018,0.393708,1.001238,0.831839,13.226,14,True,opticargo-synthetic-demand-forecast-generator-v1,2542.781,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
2482805e-8a05-5f55-b43c-449ec4926d7d,bbef1049-7862-5c3b-8804-6dfe5ec6312c,2023-01-11T23:00:00+00:00,2023-01-18T23:00:00+00:00,646.952,877.082,3771.686,77,1198.293,0.757347,0,0.336325,0.10201,0.97964,1.149029,6.007,7,True,opticargo-synthetic-demand-forecast-generator-v1,1215.196,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
abcc10bc-edb6-5b56-a5cb-0179e9ef0fee,1d69b29e-55da-5adc-a000-83803ef71d05,2023-01-12T05:00:00+00:00,2023-01-13T05:00:00+00:00,1883.47,727.277,3171.566,142,2046.117,0.901905,0,0.191479,0.147331,0.942799,0.86273,9.293,1,True,opticargo-synthetic-demand-forecast-generator-v1,238.028,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
a96ad536-8d6a-52fd-9f45-b3313459c673,ff07a522-263b-532e-850b-16312e16b3cb,2023-01-12T09:00:00+00:00,2023-02-11T09:00:00+00:00,1209.858,932.088,3804.716,67,804.404,1.036378,0,0.371284,0.36741,0.84861,0.869208,4.032,30,True,opticargo-synthetic-demand-forecast-generator-v1,4446.765,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
a9b584b8-3d0b-5d58-9acd-13c6e825e1da,31860361-9f5d-50e8-be97-ef7c382ab340,2023-01-12T16:00:00+00:00,2023-01-26T16:00:00+00:00,1355.33,968.607,4095.637,148,1684.871,1.022067,0,0.455972,0.221353,1.233125,0.923654,21.563,14,True,opticargo-synthetic-demand-forecast-generator-v1,1641.141,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
1880efdf-aa62-5f0e-ad23-33e41d792060,e3836013-1a2a-5ce7-aeac-78ebca2822f0,2023-01-12T23:00:00+00:00,2023-01-19T23:00:00+00:00,2964.21,607.976,3126.193,48,2323.474,0.822611,0,0.429424,0.323244,1.026616,0.929962,5.373,7,True,opticargo-synthetic-demand-forecast-generator-v1,635.473,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
14b495c3-eb67-598a-a85f-cb345916cee7,ef609d5a-6542-51f1-b69c-730460dff7b3,2023-01-13T05:00:00+00:00,2023-01-16T05:00:00+00:00,721.636,961.858,3637.529,109,2116.726,0.860136,0,0.682271,0.225651,1.011263,1.117232,3.557,3,True,opticargo-synthetic-demand-forecast-generator-v1,476.897,route-demand-volume-v1,synthetic-demand-forecast-2026-07-30-seed43
